Team,Season,ExpGF,ExpGA,ExpGF%,GF,GA,GF%,dGF,dGA,d%
MTL,20122013,89.84,78.20,53.46,98,77,56.00,8.16,-1.20,2.54
NYR,20072008,152.86,133.31,53.42,131,111,54.13,-21.86,-22.31,0.72
STL,20142015,164.17,143.68,53.33,161,134,54.58,-3.17,-9.68,1.25
L.A,20112012,155.07,135.83,53.31,117,118,49.79,-38.07,-17.83,-3.52
BOS,20132014,168.98,148.06,53.30,175,111,61.19,6.02,-37.06,7.89
CHI,20102011,167.08,146.81,53.23,167,145,53.53,-0.08,-1.81,0.30
CGY,20102011,157.31,138.29,53.22,161,146,52.44,3.69,7.71,-0.77
S.J,20122013,92.93,81.74,53.20,77,77,50.00,-15.93,-4.74,-3.20
PHI,20102011,171.35,150.74,53.20,173,140,55.27,1.65,-10.74,2.07
BOS,20122013,103.16,90.90,53.16,92,74,55.42,-11.16,-16.90,2.26
BOS,20112012,169.95,149.80,53.15,190,145,56.72,20.05,-4.80,3.57
DET,20122013,95.70,84.37,53.15,75,67,52.82,-20.70,-17.37,-0.33
PHI,20112012,166.46,147.57,53.01,166,145,53.38,-0.46,-2.57,0.37
CBJ,20072008,140.40,124.65,52.97,111,125,47.03,-29.40,0.35,-5.94
N.J,20082009,166.36,147.72,52.97,148,119,55.43,-18.36,-28.72,2.46
BUF,20072008,161.36,143.30,52.96,158,144,52.32,-3.36,0.70,-0.65
CBJ,20082009,152.13,135.37,52.91,153,131,53.87,0.87,-4.37,0.96
PIT,20142015,165.85,147.69,52.90,146,131,52.71,-19.85,-16.69,-0.19
WPG,20142015,156.54,139.69,52.84,145,123,54.10,-11.54,-16.69,1.26
PIT,20092010,166.00,148.31,52.81,167,155,51.86,1.00,6.69,-0.95
OTT,20122013,100.30,89.83,52.75,74,73,50.34,-26.30,-16.83,-2.41
DET,20092010,173.58,155.54,52.74,136,147,48.06,-37.58,-8.54,-4.68
PHX,20092010,156.25,140.44,52.66,143,128,52.77,-13.25,-12.44,0.10
PIT,20122013,100.42,90.40,52.63,107,76,58.47,6.58,-14.40,5.84
N.J,20092010,158.04,142.56,52.57,144,130,52.55,-14.04,-12.56,-0.02
CHI,20082009,161.46,145.97,52.52,150,128,53.96,-11.46,-17.97,1.44
T.B,20132014,161.21,146.56,52.38,151,130,53.74,-10.21,-16.56,1.36
ANA,20132014,173.15,157.51,52.36,190,136,58.28,16.85,-21.51,5.92
MIN,20122013,94.22,85.79,52.34,81,92,46.82,-13.22,6.21,-5.52
NYI,20122013,99.92,91.04,52.33,94,96,49.47,-5.92,4.96,-2.85
NYR,20142015,174.90,159.48,52.31,179,137,56.65,4.10,-22.48,4.34
DAL,20142015,172.44,157.26,52.30,174,170,50.58,1.56,12.74,-1.72
PIT,20102011,158.99,145.08,52.29,144,127,53.14,-14.99,-18.08,0.85
DET,20142015,156.79,143.08,52.29,132,126,51.16,-24.79,-17.08,-1.12
WSH,20092010,168.79,154.51,52.21,205,133,60.65,36.21,-21.51,8.44
L.A,20092010,150.45,137.99,52.16,136,131,50.94,-14.45,-6.99,-1.22
NYR,20102011,167.24,153.65,52.12,149,137,52.10,-18.24,-16.65,-0.02
OTT,20092010,152.58,140.34,52.09,141,167,45.78,-11.58,26.66,-6.31
TOR,20092010,171.53,157.97,52.06,151,161,48.40,-20.53,3.03,-3.66
BUF,20082009,161.48,149.14,51.99,152,144,51.35,-9.48,-5.14,-0.64
WSH,20142015,152.07,140.58,51.96,148,135,52.30,-4.07,-5.58,0.33
N.J,20072008,145.47,134.71,51.92,122,121,50.21,-23.47,-13.71,-1.72
STL,20122013,84.01,77.95,51.87,82,78,51.25,-2.01,0.05,-0.62
DET,20102011,170.75,158.44,51.87,165,163,50.30,-5.75,4.56,-1.56
NYR,20112012,155.71,144.83,51.81,149,129,53.60,-6.71,-15.83,1.79
BUF,20092010,174.29,162.25,51.79,151,142,51.54,-23.29,-20.25,-0.25
COL,20072008,163.75,152.66,51.75,156,138,53.06,-7.75,-14.66,1.31
CHI,20142015,181.70,169.80,51.69,150,129,53.76,-31.70,-40.80,2.07
CAR,20142015,168.97,158.14,51.66,126,165,43.30,-42.97,6.86,-8.36
N.J,20112012,151.03,141.82,51.57,138,145,48.76,-13.03,3.18,-2.81
PHI,20092010,158.58,149.05,51.55,140,142,49.65,-18.58,-7.05,-1.90
PIT,20132014,153.10,144.29,51.48,153,147,51.00,-0.10,2.71,-0.48
VAN,20092010,161.40,152.11,51.48,174,137,55.95,12.60,-15.11,4.47
WSH,20102011,153.22,144.62,51.45,141,130,52.03,-12.22,-14.62,0.58
BOS,20092010,158.28,149.89,51.36,132,136,49.25,-26.28,-13.89,-2.11
FLA,20142015,156.58,148.31,51.36,145,143,50.35,-11.58,-5.31,-1.01
VAN,20102011,164.41,155.80,51.34,162,124,56.64,-2.41,-31.80,5.30
CGY,20072008,143.56,136.08,51.34,144,132,52.17,0.44,-4.08,0.84
S.J,20092010,160.55,152.19,51.34,162,132,55.10,1.45,-20.19,3.77
L.A,20102011,144.92,138.34,51.16,147,136,51.94,2.08,-2.34,0.78
ANA,20082009,151.98,145.28,51.13,146,131,52.71,-5.98,-14.28,1.58
FLA,20102011,173.28,165.64,51.13,139,159,46.64,-34.28,-6.64,-4.48
DAL,20132014,162.82,156.44,51.00,158,147,51.80,-4.82,-9.44,0.80
CAR,20072008,155.67,149.85,50.95,153,145,51.34,-2.67,-4.85,0.39
BOS,20142015,158.97,153.11,50.94,140,137,50.54,-18.97,-16.11,-0.40
L.A,20082009,138.42,133.48,50.91,113,136,45.38,-25.42,2.52,-5.53
NYR,20082009,163.95,158.22,50.89,124,142,46.62,-39.95,-16.22,-4.27
CHI,20112012,163.16,157.79,50.84,167,166,50.15,3.84,8.21,-0.69
S.J,20142015,166.32,161.44,50.75,139,155,47.28,-27.32,-6.44,-3.47
MIN,20132014,139.69,135.69,50.73,134,117,53.39,-5.69,-18.69,2.66
CAR,20082009,160.28,155.92,50.69,135,136,49.82,-25.28,-19.92,-0.87
ANA,20122013,92.27,89.82,50.67,90,72,55.56,-2.27,-17.82,4.88
T.B,20072008,146.94,143.05,50.67,136,174,43.87,-10.94,30.95,-6.80
DAL,20072008,137.57,134.51,50.56,142,131,52.01,4.43,-3.51,1.45
COL,20112012,170.34,166.93,50.50,135,146,48.04,-35.34,-20.93,-2.46
MTL,20102011,159.19,156.57,50.41,134,133,50.19,-25.19,-23.57,-0.23
N.J,20102011,144.23,141.87,50.41,117,146,44.49,-27.23,4.13,-5.93
PIT,20082009,150.98,148.55,50.41,164,139,54.13,13.02,-9.55,3.72
WPG,20132014,165.71,163.53,50.33,153,162,48.57,-12.71,-1.53,-1.76
WPG,20112012,166.03,163.95,50.31,156,154,50.32,-10.03,-9.95,0.01
OTT,20072008,151.19,149.51,50.28,161,147,52.27,9.81,-2.51,1.99
NYI,20072008,158.84,157.16,50.27,119,132,47.41,-39.84,-25.16,-2.86
ANA,20142015,155.46,153.98,50.24,157,148,51.48,1.54,-5.98,1.24
COL,20082009,149.07,147.76,50.22,124,167,42.61,-25.07,19.24,-7.61
STL,20102011,153.54,152.40,50.19,161,160,50.16,7.46,7.60,-0.03
DET,20132014,151.49,150.43,50.18,152,145,51.18,0.51,-5.43,1.00
NSH,20132014,152.24,151.53,50.12,152,172,46.91,-0.24,20.47,-3.20
NSH,20072008,154.12,153.73,50.06,147,146,50.17,-7.12,-7.73,0.11
NYI,20132014,167.36,167.20,50.02,141,171,45.19,-26.36,3.80,-4.83
TOR,20072008,147.76,147.74,50.00,147,155,48.68,-0.76,7.26,-1.33
CBJ,20132014,149.31,149.46,49.97,146,136,51.77,-3.31,-13.46,1.80
CBJ,20102011,150.59,151.12,49.91,139,159,46.64,-11.59,7.88,-3.27
CGY,20092010,146.14,147.24,49.81,133,134,49.81,-13.14,-13.24,0.00
NSH,20092010,159.55,160.79,49.81,149,142,51.20,-10.55,-18.79,1.40
BOS,20102011,170.05,171.82,49.74,175,123,58.72,4.95,-48.82,8.98
BOS,20082009,157.42,159.39,49.69,165,113,59.35,7.58,-46.39,9.66
OTT,20112012,161.26,163.31,49.68,160,153,51.12,-1.26,-10.31,1.43
NSH,20102011,153.89,156.29,49.61,152,129,54.09,-1.89,-27.29,4.48
VAN,20112012,156.98,159.55,49.59,157,131,54.51,0.02,-28.55,4.92
OTT,20142015,159.58,162.34,49.57,152,143,51.53,-7.58,-19.34,1.95
STL,20092010,151.39,154.13,49.55,143,142,50.18,-8.39,-12.13,0.62
NYI,20112012,161.61,164.70,49.53,130,174,42.76,-31.61,9.30,-6.76
PIT,20072008,150.35,153.23,49.53,142,122,53.79,-8.35,-31.23,4.26
DAL,20092010,153.51,156.59,49.50,150,154,49.34,-3.51,-2.59,-0.16
STL,20082009,139.05,142.00,49.47,130,140,48.15,-9.05,-2.00,-1.33
VAN,20132014,148.42,151.94,49.41,139,142,49.47,-9.42,-9.94,0.05
CBJ,20092010,145.23,149.09,49.34,132,165,44.44,-13.23,15.91,-4.90
NSH,20112012,154.60,158.80,49.33,154,150,50.66,-0.60,-8.80,1.33
PHI,20082009,150.44,154.80,49.29,151,152,49.83,0.56,-2.80,0.55
VAN,20072008,133.20,137.14,49.27,125,125,50.00,-8.20,-12.14,0.73
NYR,20092010,152.28,157.01,49.24,146,139,51.23,-6.28,-18.01,1.99
VAN,20122013,87.57,90.32,49.23,83,80,50.92,-4.57,-10.32,1.69
VAN,20082009,138.65,143.19,49.20,149,119,55.60,10.35,-24.19,6.40
T.B,20122013,90.22,93.31,49.16,103,98,51.24,12.78,4.69,2.09
NSH,20122013,84.08,87.11,49.12,74,85,46.54,-10.08,-2.11,-2.58
OTT,20102011,148.79,154.32,49.09,123,173,41.55,-25.79,18.68,-7.53
COL,20102011,164.46,170.89,49.04,147,172,46.08,-17.46,1.11,-2.96
CGY,20112012,156.75,163.26,48.98,134,146,47.86,-22.75,-17.26,-1.13
VAN,20142015,157.11,164.16,48.90,149,158,48.53,-8.11,-6.16,-0.37
ANA,20072008,128.23,134.14,48.87,111,98,53.11,-17.23,-36.14,4.24
COL,20092010,160.48,168.39,48.80,153,146,51.17,-7.48,-22.39,2.37
T.B,20082009,140.08,147.05,48.79,128,144,47.06,-12.08,-3.05,-1.73
TOR,20082009,152.63,160.28,48.78,161,177,47.63,8.37,16.72,-1.14
PHX,20122013,94.36,99.25,48.74,86,81,51.50,-8.36,-18.25,2.76
NYI,20092010,161.84,170.28,48.73,145,171,45.89,-16.84,0.72,-2.84
MTL,20142015,150.75,158.79,48.70,145,122,54.31,-5.75,-36.79,5.61
PHI,20142015,152.06,160.29,48.68,133,135,49.63,-19.06,-25.29,0.94
STL,20072008,136.42,143.98,48.65,136,141,49.10,-0.42,-2.98,0.44
CHI,20072008,135.33,142.86,48.65,143,133,51.81,7.67,-9.86,3.16
PHI,20122013,82.16,86.87,48.61,82,95,46.33,-0.16,8.13,-2.28
OTT,20082009,133.98,142.40,48.48,125,142,46.82,-8.98,-0.40,-1.66
MIN,20092010,142.00,151.34,48.41,135,154,46.71,-7.00,2.66,-1.69
FLA,20132014,153.27,164.02,48.30,143,177,44.69,-10.27,12.98,-3.62
BUF,20112012,153.29,164.18,48.29,151,147,50.67,-2.29,-17.18,2.39
CAR,20132014,163.51,175.13,48.29,136,150,47.55,-27.51,-25.13,-0.73
PHX,20112012,160.63,172.10,48.28,158,140,53.02,-2.63,-32.10,4.74
BOS,20072008,138.13,148.76,48.15,123,118,51.04,-15.13,-30.76,2.89
WSH,20122013,87.54,94.30,48.14,91,85,51.70,3.46,-9.30,3.56
PHX,20102011,151.17,163.14,48.10,156,132,54.17,4.83,-31.14,6.07
MTL,20132014,147.38,159.27,48.06,132,136,49.25,-15.38,-23.27,1.19
PHI,20132014,147.16,159.11,48.05,144,150,48.98,-3.16,-9.11,0.93
DAL,20082009,138.06,149.36,48.03,150,159,48.54,11.94,9.64,0.51
WSH,20112012,141.02,152.58,48.03,149,148,50.17,7.98,-4.58,2.14
PHX,20132014,147.75,160.15,47.99,138,135,50.55,-9.75,-25.15,2.56
PHX,20072008,141.20,153.12,47.97,122,134,47.66,-19.20,-19.12,-0.32
CGY,20122013,90.42,98.10,47.96,83,121,40.69,-7.42,22.90,-7.28
DAL,20112012,143.67,156.51,47.86,144,150,48.98,0.33,-6.51,1.12
CAR,20112012,160.68,175.13,47.85,137,163,45.67,-23.68,-12.13,-2.18
EDM,20072008,143.85,157.27,47.77,143,166,46.28,-0.85,8.73,-1.49
T.B,20112012,151.72,166.32,47.70,169,182,48.15,17.28,15.68,0.44
OTT,20132014,159.67,175.05,47.70,157,168,48.31,-2.67,-7.05,0.60
COL,20132014,164.05,179.93,47.69,165,146,53.05,0.95,-33.93,5.36
EDM,20082009,148.34,162.73,47.69,150,145,50.85,1.66,-17.73,3.16
TOR,20112012,159.02,174.61,47.66,153,179,46.08,-6.02,4.39,-1.58
COL,20122013,90.91,99.97,47.63,79,97,44.89,-11.91,-2.97,-2.74
MTL,20072008,139.92,154.12,47.59,144,138,51.06,4.08,-16.12,3.48
CAR,20122013,100.78,111.09,47.57,89,105,45.88,-11.78,-6.09,-1.69
ANA,20112012,149.29,164.58,47.57,139,156,47.12,-10.29,-8.58,-0.45
MTL,20112012,137.20,151.62,47.50,139,144,49.12,1.80,-7.62,1.61
WPG,20122013,92.96,102.78,47.49,91,102,47.15,-1.96,-0.78,-0.34
MTL,20082009,145.34,161.09,47.43,144,148,49.32,-1.34,-13.09,1.88
T.B,20092010,139.76,155.07,47.40,134,158,45.89,-5.76,2.93,-1.51
CAR,20092010,148.51,166.04,47.21,136,154,46.90,-12.51,-12.04,-0.32
FLA,20082009,169.13,189.21,47.20,150,145,50.85,-19.13,-44.21,3.65
CBJ,20112012,146.31,163.83,47.18,129,162,44.33,-17.31,-1.83,-2.85
PHI,20072008,137.67,155.86,46.90,125,137,47.71,-12.67,-18.86,0.81
FLA,20072008,153.03,173.36,46.89,133,136,49.44,-20.03,-37.36,2.56
EDM,20112012,147.56,167.82,46.79,138,152,47.59,-9.56,-15.82,0.80
FLA,20112012,146.65,166.89,46.77,123,141,46.59,-23.65,-25.89,-0.18
CAR,20102011,153.57,174.92,46.75,149,155,49.01,-4.57,-19.92,2.26
NSH,20082009,142.02,161.82,46.74,133,139,48.90,-9.02,-22.82,2.16
ATL,20102011,153.46,175.12,46.70,134,163,45.12,-19.46,-12.12,-1.59
CBJ,20142015,150.11,171.32,46.70,144,167,46.30,-6.11,-4.32,-0.40
MIN,20082009,133.02,152.14,46.65,122,136,47.29,-11.02,-16.14,0.64
WSH,20132014,142.35,163.13,46.60,135,153,46.88,-7.35,-10.13,0.28
MIN,20112012,143.63,164.85,46.56,103,146,41.37,-40.63,-18.85,-5.19
FLA,20122013,89.94,103.39,46.52,64,116,35.56,-25.94,12.61,-10.96
NYI,20082009,155.44,178.80,46.51,117,173,40.34,-38.44,-5.80,-6.16
NYI,20102011,149.55,172.48,46.44,135,170,44.26,-14.55,-2.48,-2.18
N.J,20142015,139.85,161.35,46.43,116,124,48.33,-23.85,-37.35,1.90
ATL,20082009,148.51,171.57,46.40,147,159,48.04,-1.51,-12.57,1.64
ANA,20092010,156.42,180.89,46.37,147,145,50.34,-9.42,-35.89,3.97
CGY,20132014,140.72,162.79,46.36,136,172,44.16,-4.72,9.21,-2.21
PHX,20082009,131.73,154.66,46.00,130,158,45.14,-1.73,3.34,-0.86
MTL,20092010,143.05,168.18,45.96,130,141,47.97,-13.05,-27.18,2.01
DAL,20122013,82.24,96.84,45.92,92,91,50.27,9.76,-5.84,4.35
EDM,20122013,88.76,104.59,45.91,80,90,47.06,-8.76,-14.59,1.15
ATL,20092010,148.09,175.09,45.82,161,168,48.94,12.91,-7.09,3.11
EDM,20092010,147.37,174.32,45.81,141,182,43.65,-6.37,7.68,-2.16
ARI,20142015,145.23,171.80,45.81,106,174,37.86,-39.23,2.20,-7.95
CBJ,20122013,79.04,94.00,45.68,83,80,50.92,3.96,-14.00,5.24
TOR,20102011,137.20,163.57,45.62,149,156,48.85,11.80,-7.57,3.24
CGY,20142015,144.00,171.77,45.60,152,154,49.67,8.00,-17.77,4.07
DAL,20102011,130.03,155.63,45.52,143,141,50.35,12.97,-14.63,4.83
EDM,20142015,143.55,172.11,45.48,131,197,39.94,-12.55,24.89,-5.54
ANA,20102011,147.96,177.56,45.45,133,154,46.34,-14.96,-23.56,0.89
BUF,20122013,86.31,103.61,45.45,81,89,47.65,-5.31,-14.61,2.20
FLA,20092010,152.66,184.15,45.32,139,151,47.93,-13.66,-33.15,2.61
MIN,20072008,122.31,147.58,45.32,135,139,49.27,12.69,-8.58,3.95
EDM,20102011,138.24,167.99,45.14,123,169,42.12,-15.24,1.01,-3.02
L.A,20072008,140.59,171.23,45.09,137,174,44.05,-3.59,2.77,-1.04
TOR,20122013,86.55,105.46,45.08,104,96,52.00,17.45,-9.46,6.92
EDM,20132014,143.12,176.59,44.77,128,178,41.83,-15.12,1.41,-2.94
COL,20142015,144.67,182.50,44.22,153,156,49.51,8.33,-26.50,5.30
TOR,20132014,151.63,191.59,44.18,148,166,47.13,-3.63,-25.59,2.96
TOR,20142015,149.02,188.65,44.13,136,171,44.30,-13.02,-17.65,0.17
MIN,20102011,129.30,163.89,44.10,126,149,45.82,-3.30,-14.89,1.72
ATL,20072008,135.17,175.43,43.52,125,172,42.09,-10.17,-3.43,-1.43
BUF,20132014,136.10,187.02,42.12,96,165,36.78,-40.10,-22.02,-5.34
BUF,20142015,131.40,199.25,39.74,110,177,38.33,-21.40,-22.25,-1.41
